hsa-mir-19a-3p,0.4,0.6,hsa-miR-92a,#N/A,
hsa-mir-152-3p,0.4,0.6,hsa-miR-93,#N/A,
hsa-mir-148a-3p,0.4,0.6,hsa-miR-96,#N/A,
hsa-mir-221-3p,0.4,0.6,hsa-miR-98,#N/A,
hsa-mir-222-3p,0.4,0.6,hsa-miR-196b,#N/A,
hsa-mir-4644,0.4,0.6,hsa-miR-708,#N/A,
hsa-mir-193b-3p,0.4,0.6,hsa-miR-29b-2,#N/A,
hsa-mir-193a-3p,0.4,0.6,hsa-miR-29c,#N/A,
hsa-mir-383-5p,0.4,0.6,hsa-miR-101,#N/A,
hsa-mir-371a-5p,0.4,0.6,hsa-miR-96,#N/A,
hsa-mir-29c-3p,0.4,0.6,hsa-miR-96,#N/A,
hsa-mir-27a-3p,0.4,0.6,hsa-miR-96,#N/A,
hsa-mir-200a-3p,0.4,0.6,hsa-miR-96,#N/A,
hsa-mir-320b,0.4,0.6,hsa-miR-96,#N/A,
hsa-mir-141-3p,0.4,0.6,hsa-miR-96,#N/A,
hsa-mir-142-3p,0.4,0.6,hsa-miR-96,#N/A,
hsa-mir-143-3p,0.4,0.6,hsa-miR-98,#N/A,
hsa-mir-448,0.4,0.6,hsa-miR-99a,#N/A,
hsa-mir-223-3p,0.4,0.6,hsa-miR-99a,#N/A,
hsa-mir-718,0.4,0.6,hsa-miR-99a,#N/A,
hsa-mir-519a-5p,0.4,0.6,hsa-miR-99a,#N/A,
hsa-mir-208a-5p,0.4,0.6,hsa-miR-99a,#N/A,
hsa-mir-1827,0.4,0.6,hsa-miR-99a,#N/A,
hsa-mir-3201,0.4,0.6,hsa-miR-99a,#N/A,
hsa-mir-3915,0.4,0.6,hsa-miR-99a,#N/A,
hsa-mir-1266-5p,0.4,0.6,hsa-miR-99a,#N/A,
hsa-mir-3171,0.4,0.6,hsa-miR-99a,#N/A,
hsa-mir-2110,0.4,0.6,hsa-miR-99a,#N/A,
hsa-mir-1908-5p,0.4,0.6,hsa-miR-99b,#N/A,
hsa-mir-4709-5p,0.4,0.6,hsa-miR-99b,#N/A,
hsa-mir-4454,0.4,0.6,hsa-miR-99b,#N/A,
hsa-mir-522-5p,0.4,0.6,hsa-miR-99b,#N/A,
hsa-mir-569,0.4,0.6,hsa-miR-130a,#N/A,
hsa-mir-624-5p,0.4,0.6,hsa-miR-130a,#N/A,
hsa-mir-603,0.4,0.6,hsa-miR-130a,#N/A,
hsa-mir-320e,0.4,0.6,hsa-miR-130a,#N/A,
hsa-mir-640,0.4,0.6,hsa-miR-130a,#N/A,
hsa-mir-376a-2-5p,0.4,0.6,hsa-let-7c,#N/A,
hsa-mir-558,0.4,0.6,hsa-miR-1,#N/A,
hsa-mir-3189-5p,0.4,0.6,hsa-miR-124a,#N/A,
hsa-mir-518f-5p,0.4,0.6,hsa-miR-139,#N/A,
hsa-mir-4443,0.4,0.6,hsa-miR-145,#N/A,
hsa-mir-518d-5p,0.4,0.6,hsa-miR-155,#N/A,
hsa-mir-585-5p,0.4,0.6,hsa-miR-16,#N/A,
hsa-mir-450b-5p,0.4,0.6,hsa-miR-181a-2,#N/A,
hsa-mir-1182,0.4,0.6,hsa-miR-181b,#N/A,
hsa-mir-4284,0.4,0.6,hsa-miR-181b,#N/A,
hsa-mir-875-5p,0.4,0.6,hsa-miR-181b,#N/A,
hsa-mir-3622b-5p,0.4,0.6,hsa-miR-181b,#N/A,
hsa-mir-3188,0.4,0.6,hsa-miR-181b,#N/A,
hsa-mir-4463,0.4,0.6,hsa-miR-181b,#N/A,
hsa-mir-921,0.4,0.6,hsa-miR-181b,#N/A,
hsa-mir-4478,0.4,0.6,hsa-miR-181b,#N/A,
hsa-mir-4258,0.4,0.6,hsa-miR-181b-1,#N/A,
hsa-mir-3157-5p,0.4,0.6,hsa-miR-181b-1,#N/A,
hsa-mir-649,0.4,0.6,hsa-miR-183,#N/A,
hsa-mir-199a-3p,0.4,0.6,hsa-miR-183,hsa-miR-199a-3p,
hsa-mir-34b-3p,0.4,0.6,hsa-miR-183,#N/A,
hsa-mir-624-3p,0.4,0.6,hsa-miR-184,#N/A,
hsa-mir-9-3p,0.4,0.6,hsa-miR-196a,#N/A,
hsa-mir-873-5p,0.5,0.5,hsa-miR-196a-2,#N/A,
hsa-mir-23b-3p,0.5,0.5,hsa-miR-196b,#N/A,
hsa-mir-23c,0.5,0.5,hsa-miR-196b,#N/A,
hsa-mir-338-3p,0.5,0.5,hsa-miR-197,#N/A,
hsa-mir-22-3p,0.5,0.5,hsa-miR-197,#N/A,
hsa-mir-542-3p,0.5,0.5,hsa-miR-197,hsa-miR-542-3p,
hsa-mir-758-3p,0.5,0.5,hsa-miR-197,#N/A,
hsa-mir-496,0.5,0.5,hsa-miR-197,#N/A,
hsa-mir-130a-3p,0.5,0.5,hsa-miR-197,#N/A,
hsa-mir-3619-5p,0.5,0.5,hsa-miR-381,#N/A,
hsa-mir-329-3p,0.5,0.5,hsa-miR-381,#N/A,
hsa-mir-376a-3p,0.5,0.5,hsa-miR-381,#N/A,
hsa-mir-362-3p,0.5,0.5,hsa-miR-381,#N/A,
hsa-mir-26a-5p,0.5,0.5,hsa-miR-381,#N/A,
hsa-mir-377-3p,0.5,0.5,hsa-miR-381,#N/A,
hsa-mir-4465,0.5,0.5,hsa-miR-381,#N/A,
hsa-mir-4262,0.5,0.5,hsa-miR-381,#N/A,
hsa-mir-101-3p,0.5,0.5,hsa-miR-381,#N/A,
hsa-mir-197-3p,0.5,0.5,hsa-miR-382,#N/A,
hsa-mir-124-3p,0.5,0.5,hsa-miR-29b,#N/A,
hsa-mir-27b-3p,0.5,0.5,hsa-miR-29b,#N/A,
hsa-mir-506-3p,0.5,0.5,hsa-miR-29b,#N/A,
hsa-mir-200b-3p,0.5,0.5,hsa-miR-29b,#N/A,
hsa-mir-200c-3p,0.5,0.5,hsa-miR-29b,#N/A,
hsa-mir-320d,0.5,0.5,hsa-miR-29b,#N/A,
hsa-mir-494-3p,0.5,0.5,hsa-miR-29b,#N/A,
hsa-mir-144-3p,0.5,0.5,hsa-miR-29b,#N/A,
hsa-mir-4429,0.5,0.5,hsa-miR-29b,#N/A,
hsa-mir-4770,0.5,0.5,hsa-miR-29b,#N/A,
hsa-mir-488-3p,0.5,0.5,hsa-miR-29b,#N/A,
hsa-mir-410-3p,0.5,0.5,hsa-miR-29b,#N/A,
hsa-mir-296-3p,0.5,0.5,hsa-miR-29b,#N/A,
hsa-mir-518b,0.5,0.5,hsa-miR-29b,hsa-miR-518b,
hsa-mir-632,0.5,0.5,hsa-miR-29b,#N/A,
hsa-mir-4732-5p,0.5,0.5,hsa-miR-29b-1,#N/A,
